tweet_id,name,stage,rating_numerator,rating_denominator,rating_normal,likes,retweets
738537504001953792,Bayley,puppo,11.0,10,1.1,4878,1463
892420643555336193,Phineas,,13.0,10,1.3,34943,7331
892177421306343426,Tilly,,13.0,10,1.3,30258,5473
891815181378084864,Archie,,12.0,10,1.2,22766,3620
891689557279858688,Darla,,13.0,10,1.3,38207,7521
891327558926688256,Franklin,,12.0,10,1.2,36476,8091
891087950875897856,,,13.0,10,1.3,18403,2712
890971913173991426,Jax,,13.0,10,1.3,10709,1752
890729181411237888,,,13.0,10,1.3,58853,16442
890609185150312448,Zoey,,13.0,10,1.3,25333,3762
890006608113172480,Koda,,13.0,10,1.3,27880,6394
889880896479866881,Bruno,,13.0,10,1.3,25348,4336
889638837579907072,Ted,,12.0,10,1.2,24457,3891
889278841981685760,Oliver,,13.0,10,1.3,22824,4634
888917238123831296,Jim,,12.0,10,1.2,26436,3902
888804989199671297,Zeke,,13.0,10,1.3,23205,3693
888554962724278272,Ralphus,,13.0,10,1.3,17886,3004
888078434458587136,Gerald,,12.0,10,1.2,19782,3030
887705289381826560,Jeffrey,,13.0,10,1.3,27501,4708
887517139158093824,,,14.0,10,1.4,42079,10252
887473957103951883,Canela,,13.0,10,1.3,62237,15658
887343217045368832,,,13.0,10,1.3,30537,9178
887101392804085760,,,12.0,10,1.2,27841,5201
886983233522544640,Maya,,13.0,10,1.3,31518,6650
886736880519319552,Mingus,,13.0,10,1.3,10841,2762
886680336477933568,Derek,,13.0,10,1.3,20412,3900
886258384151887873,Waffles,,13.0,10,1.3,25389,5505
885984800019947520,Jimbo,,12.0,10,1.2,29551,5851
885528943205470208,Maisey,,13.0,10,1.3,32621,5568
885167619883638784,,,13.0,10,1.3,19855,3812
884925521741709313,Earl,,12.0,10,1.2,69730,15721
884876753390489601,Lola,,13.0,10,1.3,25240,4871
884562892145688576,Kevin,,13.0,10,1.3,22051,4093
884441805382717440,,,14.0,10,1.4,24619,4964
883838122936631299,Noah,,12.0,10,1.2,19840,2980
883482846933004288,Bella,,5.0,10,0.5,41585,8610
883117836046086144,,,13.0,10,1.3,33639,5779
882992080364220416,Rusty,,13.0,10,1.3,21684,3378
882627270321602560,Stanley,,13.0,10,1.3,25451,5284
882268110199369728,Alfy,,13.0,10,1.3,40594,10083
882045870035918850,Koko,,13.0,10,1.3,26588,4237
881906580714921986,Rey,,12.0,10,1.2,22125,2965
881268444196462592,Elliot,,12.0,10,1.2,21156,4639
880935762899988482,Louis,,13.0,10,1.3,15534,2440
880872448815771648,,,12.0,10,1.2,19341,3330
880465832366813184,Bella,,12.0,10,1.2,25810,5423
880221127280381952,Jesse,,12.0,10,1.2,24465,3619
880095782870896641,,,11.0,10,1.1,25097,3790
879862464715927552,Romeo,,13.0,10,1.3,20345,3038
879492040517615616,Bailey,,12.0,10,1.2,21363,2764
879415818425184262,Duddles,,13.0,10,1.3,95982,38969
879376492567855104,Jack,,12.0,10,1.2,15332,2739
879050749262655488,Steven,,11.0,10,1.1,20488,4122
879008229531029506,Beau,,13.0,10,1.3,17293,2340
878281511006478336,Shadow,,13.0,10,1.3,7017,1115
878057613040115712,Emmy,,14.0,10,1.4,38286,5962
877736472329191424,Aja,,13.0,10,1.3,71817,16536
877556246731214848,Penny,,12.0,10,1.2,20626,3313
877316821321428993,Dante,,13.0,10,1.3,24971,4556
877201837425926144,Nelly,,12.0,10,1.2,24628,4857
876484053909872640,Benedict,,13.0,10,1.3,17100,2074
875747767867523072,Goose,,13.0,10,1.3,22890,3746
875144289856114688,Nugget,,13.0,10,1.3,19987,4296
875021211251597312,,,12.0,10,1.2,23285,4144
874680097055178752,Cash,,12.0,10,1.2,25377,4075
874057562936811520,,,12.0,10,1.2,20749,3505
873580283840344065,,,13.0,10,1.3,22124,3462
872820683541237760,,,13.0,10,1.3,13474,3278
872620804844003328,Monkey,,13.0,10,1.3,18956,3209
872486979161796608,,,12.0,10,1.2,37260,8024
872261713294495745,Harry,,13.0,10,1.3,,
872122724285648897,Kody,,12.0,10,1.2,31289,7152
871032628920680449,Boomer,,13.0,10,1.3,20828,3366
870804317367881728,,,11.0,10,1.1,30787,5472
870656317836468226,Cody,,13.0,10,1.3,11253,2303
870374049280663552,Zoey,,13.0,10,1.3,76324,23634
870308999962521604,Rumble,,13.0,10,1.3,20103,3678
870063196459192321,Clifford,,14.0,10,1.4,33460,7364
869772420881756160,Dewey,,13.0,10,1.3,39137,9029
869702957897576449,Stanley,,13.0,10,1.3,25863,5584
869227993411051520,Gizmo,,13.0,10,1.3,18739,3343
868880397819494401,Walter,,14.0,10,1.4,59955,12791
868622495443632128,,,13.0,10,1.3,24417,4700
868552278524837888,Cooper,,12.0,10,1.2,9265,1827
867900495410671616,,,12.0,10,1.2,22287,3729
867774946302451713,Harold,,13.0,10,1.3,31242,6530
867072653475098625,,,13.0,10,1.3,0,106
867051520902168576,,,13.0,10,1.3,29629,7046
866334964761202691,Coco,,12.0,10,1.2,48176,12741
865718153858494464,Boomer,,13.0,10,1.3,23712,5047
865359393868664832,Sammy,,13.0,10,1.3,24413,4489
865006731092295680,Nelly,,13.0,10,1.3,25873,6938
864873206498414592,,,14.0,10,1.4,29746,7791
864279568663928832,Meatball,,12.0,10,1.2,13495,2705
864197398364647424,Paisley,,13.0,10,1.3,27628,7922
863907417377173506,Albus,,13.0,10,1.3,19074,3728
863553081350529029,Neptune,,13.0,10,1.3,14093,3778
863432100342583297,Belle,,12.0,10,1.2,21998,4731
863079547188785154,,,14.0,10,1.4,8132,1000
863062471531167744,Quinn,,13.0,10,1.3,7788,2170
862831371563274240,Zooey,,13.0,10,1.3,17768,4631
862722525377298433,Dave,,11.0,10,1.1,15857,3212
862457590147678208,Jersey,,13.0,10,1.3,18883,4437
862096992088072192,,,13.0,10,1.3,68608,20873
861383897657036800,Hobbes,,13.0,10,1.3,33432,9688
861288531465048066,,,13.0,10,1.3,15913,3740
861005113778896900,Burt,,12.0,10,1.2,15503,3463
860924035999428608,,,13.0,10,1.3,0,707
860563773140209665,Lorenzo,,13.0,10,1.3,6954,1934
860524505164394496,Carl,,13.0,10,1.3,21978,4796
860276583193509888,Jordy,,12.0,10,1.2,17117,3192
860184849394610176,,,14.0,10,1.4,15479,5321
859924526012018688,Milky,,12.0,10,1.2,18243,3722
859851578198683649,Trooper,,13.0,10,1.3,14402,3202
859196978902773760,,,12.0,10,1.2,83461,27391
859074603037188101,,,13.0,10,1.3,31460,12443
858471635011153920,Sophie,,13.0,10,1.3,20154,4443
858107933456039936,Wyatt,,12.0,10,1.2,14704,2642
857989990357356544,Rosie,,12.0,10,1.2,14995,2362
857746408056729600,Thor,,13.0,10,1.3,31926,9728
857393404942143489,,,13.0,10,1.3,5503,1497
857263160327368704,Oscar,,13.0,10,1.3,18817,4138
857029823797047296,Zeke,,12.0,10,1.2,17629,3644
856543823941562368,Callie,,12.0,10,1.2,15341,2649
